"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"7700 River Mist Ave","Bakersfield","93313","202200950","S","49807113","03/28/22","03/25/22","01/26/22","58","$335000.00","360,000","208.94","1989","1723","3","3","6969","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Lovely southwest home located in the Silver Creek. This home features a large kitchen with tile counter tops, tile flooring, formal living and a   separate living area with fireplace area  3 bedrooms, 2.5 baths with over 1700 sqft. Located within walking distance of schools, parks, shopping centers!","7700 River Mist Ave, Bakersfield, CA 93313-4333","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/01/29/4b8d7286-05de-4a3a-808c-20782973e8e6.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6417 Ambergrove St","Bakersfield","93313","202201715","S","49812211","03/25/22","02/23/22","02/20/22","3","320000.00","350,000","210.21","1989","1665","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Welcome to this beautiful southwest located home. Walking distance from shopping, school, and parks. In the winter time there is two separate fireplaces that you can warm up with in this cozy home. Spacious backyard to play with the kids or entertain guest. This house features 3 Bedrooms, & 2 Bathrooms. This house also has a central vacuum system. The roof and A/C were replaced in 2019. This home is move in ready for you. Please call for appointment only showings.","6417 Ambergrove St, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/02/20/78a4d1db-1b45-42bf-944e-1798e6ab8db9.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7620 Canyon Clover Dr","Bakersfield","93313","202202140","S","49819106","04/07/22","03/07/22","03/03/22","4","350000.00","375,000","239.01","1993","1569","4","2","7840","2 Car Garage","NONE","None","5000.00","SNGF","","1","Four bedroom 2 bath home on a large lot with RV parking. Granite countertops with tile backsplash in kitchen. Living room has fireplace and sliding doors to the covered patio and large backyard. Do miss this opportunity, schedule your showing today!","7620 Canyon Clover Dr, Bakersfield, CA 93313-4331","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/03/94139afb-5f7b-44f8-84a2-c8085dc0803f.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7908 Coulter Pine Ct","Bakersfield","93313","202202322","S","49803301","04/18/22","03/10/22","03/08/22","2","387000.00","385,000","226.07","1989","1703","3","2","7405","2 Car Garage","NONE","None","0.00","SNGF","UNCV","2","This two-story Silver Creek 3 bed, 2.5 bath, plus office home is ready for new, loving owners! The home features a newer tankless water heater, newer lighting fixtures, an updated kitchen with granite counters and stainless steel appliances. The bathrooms have been updated, and the owners' suite offers a soaker tub and walk-in closet. Open-living is abundant in this home, yet it offers two separate living spaces! Beautifully landscaped, the lot features generous RV parking, and gorgeous double doors that lead out to a serene, park-like backyard space. Make your appointment TODAY!","7908 Coulter Pine Ct, Bakersfield, CA 93313-4134","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/08/160d1bb4-9682-4f1b-9c15-8b3f663054e2.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6217 Brewer Creek Dr","Bakersfield","93313","202202433","S","49869109","05/16/22","03/15/22","03/10/22","5","349999.00","373,000","257.24","2006","1450","3","2","4791","2 Car Garage","SPA","None","0.00","SNGF","CVRD","1","Enter this gorgeous open floor plan home with 3 beds 2 baths. Featuring a front yard walled courtyard with gated entrances. Two backyard patio pergolas, with a spa, redwood BBQ/counter top with metal covered roof for entertaining. Also comes with a simplisafe alarm system, cameras, motion sensors and glass break sensors. Many more features contact me today for your private showing.","6217 Brewer Creek Dr, Bakersfield, CA 93313-5913","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/10/1b2a16a2-5bbb-402a-b26e-6e895c7d70c9.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7224 Silver Spray Ave","Bakersfield","93313","202202918","S","49832113","04/26/22","03/27/22","03/24/22","3","284900.00","320,100","266.31","1997","1202","2","2","4791","2 Car Garage","COMM","None","0.00","SNGF","UNCV","1","Move in ready home in desirable Silver Creek neighborhood. This 2 bedroom, 2 bath home has everything you're looking for. Open floor plan great room and kitchen with vaulted ceilings, and cozy fireplace. Spacious master suite, large guest bedroom, two car garage, private courtyard, and mature landscape, with front yard maintained by the HOA.  Comfortable back yard for entertaining, bbq's, or just relaxing after a long day. This home is only a short walk from the neighborhood park and community pool; perfect for relaxing and cooling off on those hot summer days, or letting the kids play. Close to major shopping, restaurants, parks, and located in an award winning school district. Don't miss this opportunity and let this one get away. Schedule your showing today before it's gone.","7224 Silver Spray Ave, Bakersfield, CA 93313-4528","HOA Fees,Probate","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/24/f0f3323d-0f2f-4caf-a825-e46df88f2e62.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5001 Otters Meadow Dr","Bakersfield","93313","202203212","S","49832106","06/06/22","05/06/22","03/30/22","37","330000.00","340,000","249.08","1996","1365","3","2","4791","2 Car Garage","COMM","None","5490.00","SNGF","CVRD","1","Silver Creek 3 Bedroom 2 Bath Home. (PUD) Yes this Home Qualifies for FHA Financing. Great Size Home has an Open Floor Plan and is just down the street from the Community pool. This Home is priced to sale and wont last long, please call to set a showing appointment today.","5001 Otters Meadow Dr, Bakersfield, CA 93313-4500","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/03/30/2ef5555d-b419-47ae-8108-4e6a41cada53.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7417 Indian Gulch St","Bakersfield","93313","202203361","S","49826205","06/14/22","05/19/22","04/01/22","30","410000.00","418,000","197.26","1996","2119","4","2","7500","3 Car Garage","NONE","None","7000.00","SNGF","CVRD","1","Great Silvercreek location. Granite throughout, new flooring, paint, kitchen cabinets. This is a must see.","7417 Indian Gulch St, Bakersfield, CA 93313-4554","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/05/11/52dd7abd-3479-40a3-bca9-db1a95823db8.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7511 Stone Breaker Ave","Bakersfield","93313","202203387","S","49824302","06/07/22","04/26/22","04/01/22","14","350000.00","350,000","331.75","1995","1055","2","2","4791","2 Car Garage","INGR","Leased","0.00","SNGF","","1","Welcome to 7511 Stone Breakers avenue, a stylish home on a quiet street a short drive from all you could need. From the moment you arrive, you'll be greeted by the neat and tidy faade and easy-care gardens.    Inside, this abode is bursting with appeal and feels warm and welcoming with high ceilings and crisp white walls throughout. The cozy lounge room boasts a warming fireplace and a ceiling fan and from here you can flow to the kitchen with an abundance of cabinetry and sweeping benchtops.    In the fully-fenced backyard, you'll discover a sparkling in-ground swimming pool as well as a delightful alfresco area to soak up some sunshine.    Situated on a good-sized lot with local shopping and restaurants a short drive away, you'll also enjoy being just a 20-minute drive to the centre of Bakersfield.","7511 Stone Breaker Ave, Bakersfield, CA 93313-4373","HOA Fees,None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/12/1434514e-7d8b-41ef-ad8a-c9bd9f301927.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"6404 Ambergrove St","Bakersfield","93313","202203987","S","49813202","05/23/22","05/12/22","04/18/22","24","350000.00","377,000","266.62","1990","1414","3","2","6098","2 Car Garage","INGR","Leased","0.00","SNGF","CVRD","1","This beautiful home is ready for move in... Located in the desirable Silver Creek area, home is close to dining, shopping, schools, and parks. This home is a 3 bedroom 2 bath home plus an office with built in shelves, along with a POOL and SOLAR!!  Home features tile flooring and plank tile, living room flows right into the breakfast area and dining area. The seller resurfaced the hallway bathroom counter along with new faucets, the counters in the master bedroom were upgraded to granite and plank tile floors. The master bedroom has a door leading to the backyard pool and seller is leaving the washer, dryer and the refrigerator. The comp roof was added in 2014 and the solar added in 2015. This home is ready for all your family gatherings!!","6404 Ambergrove St, Bakersfield, CA 93313-4161","Subject To:","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2022/04/18/71038efd-674b-4f62-ac54-c96531a131e9.jpg","Lakeside","General Shafter","Independence","","MLS"
